CASE;SERIAL;REF;QUESTNNR;MODE;R001_01;R001_02;R001_03;R001_04;R001_05;R001_06;R001_07;R001_08;R001_09;R001_10;R001_11;R001_12;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R007_01;R007_02;R007_03;R007_04;R007_05;R007_06;R007_07;R007_08;R007_09;R007_10;R007_11;R007_12;R008_01;R008_02;R008_03;R008_04;R008_05;R008_06;R008_07;R008_08;R008_09;R008_10;R008_11;R008_12;CO01;CO02;DE02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;jctr_warmth;jctr_comp;jhol_warmth;jhol_comp;cctr_warmth;cctr_comp;chol_warmth;chol_comp;age_groups
286; ; ;as_rcic2;interview;1;4;2;3;3;4;4;3;5;3;2;5;3;2;3;3;4;3;5;4;2;4;3;4;4;4;3;5;3;2;3;1;4;4;4;4;1;1;2;2;2;4;2;4;3;3;1;3;3;5;5;5;4;2;4;2;3;3;5;4;2;2;1;2;3;4;2;5;2;3;3;2;4;3;3;3;4;4;3;3;4;2;4;5;2;2;4;4;3;4;1;3;3;2;3;5;2;1;2;6;26;61;41;59;36;39;40;38;48;29;13;436; ;1;12;12;0;0;0;2;2;4,5;2,75;1,75;3,25;3,25;3,5;3;2,75;1
288; ; ;as_rcic2;interview;4;5;4;4;5;5;4;3;4;4;5;5;2;4;4;4;3;5;4;5;3;3;4;3;4;4;4;4;4;5;4;5;5;5;5;4;2;2;2;3;2;2;3;4;2;3;3;3;4;4;4;4;4;5;4;2;3;3;4;3;3;4;4;3;2;3;4;3;3;2;4;4;2;2;3;3;2;2;3;4;1;3;3;4;2;1;2;3;1;3;2;4;4;2;2;2;2;1;1;8;23;48;26;41;39;59;126;48;73;57;27;395; ;1;12;12;0;0;0;1;1;4;3,5;3,5;3,25;2,5;2,5;2;3,25;1
296; ; ;as_rcic2;interview;4;5;5;4;4;3;3;3;3;4;4;4;4;5;3;3;4;3;4;3;4;2;4;3;2;1;1;2;2;3;3;4;3;2;3;2;1;1;1;1;1;3;3;5;3;1;1;1;4;4;4;3;3;3;3;2;3;2;4;4;4;4;4;4;4;4;4;3;4;3;4;4;1;1;1;1;2;3;4;5;4;1;2;1;1;1;1;1;1;3;3;5;3;1;2;1;2;1;1;3;13;38;23;20;23;26;25;21;20;15;19;246; ;1;12;12;0;0;0;18;18;3,75;2,75;4;3,75;1;4;1;3,5;3
300; ; ;as_rcic2;interview;3;2;3;2;3;4;4;4;4;3;3;4;3;3;3;3;3;3;4;4;4;4;3;4;2;2;3;2;2;4;4;4;4;3;2;4;3;2;2;2;3;4;4;4;4;3;3;4;2;3;4;3;3;4;4;4;4;3;2;3;2;2;2;2;2;4;4;4;4;3;2;4;2;2;2;2;2;4;4;4;4;3;2;4;2;2;2;2;2;4;4;4;4;3;2;4;2;1;1;14;18;40;32;27;25;29;31;27;29;22;132;310; ;1;12;12;0;0;0;1;1;3;4;2;4;2;4;2;4;3
303; ; ;as_rcic2;interview;4;4;4;3;3;3;3;3;4;4;4;4;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;2;4;2;4;2;2;2;2;4;3;4;3;4;4;4;4;4;4;4;3;2;3;3;2;2;2;2;3;2;3;3;3;2;1;2;3;2;4;4;3;3;4;1;2;4;3;3;4;4;4;4;3;4;4;3;3;3;2;2;3;2;4;2;3;2;2;2;2;2;1;2;21;34;54;34;34;34;35;37;39;41;31;13;407; ;1;12;12;0;0;0;1;1;2,5;2,25;2;3,5;3,5;3,75;2,5;2,75;2
304; ; ;as_rcic2;interview;2;3;3;3;2;4;4;4;3;4;2;2;3;4;4;4;3;4;4;3;4;3;4;4;3;3;4;3;3;4;4;3;4;3;3;4;3;3;3;3;3;4;3;4;4;3;3;4;3;3;3;3;3;4;4;4;4;4;3;2;4;3;4;2;3;4;3;4;3;4;3;3;4;3;3;4;4;4;4;3;2;4;4;4;4;3;3;3;4;4;3;3;3;4;4;4;2;1;1;29;24;36;35;37;31;34;31;35;33;25;46;396; ;1;12;12;0;0;0;0;0;3;4;3,25;3,5;3,5;3,25;3,25;3,25;2
307; ; ;as_rcic2;interview;3;2;1;2;4;4;2;5;2;4;2;2;5;5;5;5;5;4;3;3;3;2;5;5;1;2;3;3;1;4;4;5;5;4;1;2;3;4;4;4;5;3;3;4;4;2;4;2;1;2;1;2;1;5;5;5;5;1;1;5;5;5;5;5;5;2;2;1;2;2;5;4;5;3;4;5;3;3;4;2;3;4;4;3;2;1;2;2;2;4;4;5;3;4;2;1;2;1;1;24;61;65;45;42;52;46;37;27;39;19; ;415; ;0;11;11;0;0;0;1;1;1,5;5;5;1,75;4,25;3;1,75;4;2
317; ; ;as_rcic2;interview;4;3;5;5;5;5;5;5;5;5;-9;5;1;1;2;2;1;1;2;3;2;2;3;2;3;2;4;3;2;3;2;2;2;4;2;3;3;2;1;2;1;3;3;3;2;1;2;5;4;5;5;5;3;3;5;5;4;5;5;4;3;2;3;3;3;4;4;4;2;2;3;4;1;2;2;2;1;5;5;5;5;2;2;1;3;2;3;2;4;4;4;4;2;2;3;4;2;1;1;5;11;34;33;35;40;29;37;49;40;18;6;337; ;1;12;12;1;1;20;14;34;4,75;4,25;2,75;3,5;1,75;5;2,5;3,5;1
319; ; ;as_rcic2;interview;3;1;2;2;2;3;4;2;4;1;4;5;4;3;4;4;4;3;4;3;4;3;4;4;3;2;2;2;2;4;4;4;4;2;3;3;2;1;1;2;1;3;4;3;3;2;3;2;3;2;2;3;2;4;4;3;4;1;5;4;3;2;3;3;3;3;3;3;3;3;4;4;2;2;2;3;2;4;4;4;4;2;3;3;1;1;1;1;2;3;2;3;3;1;2;1;2;1;1;21;17;45;32;33;29;51;32;34;32;31;11;368; ;1;12;12;0;0;0;2;2;2,5;3,75;2,75;3;2,25;4;1;2,75;3
320; ; ;as_rcic2;interview;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;4;4;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;3;3;3;4;2;3;4;2;3;4;4;4;4;4;4;4;4;4;3;4;4;2;2;2;2;2;3;4;3;3;3;2;2;4;3;3;4;4;4;4;4;4;3;4;4;2;2;2;2;2;4;4;3;2;4;3;3;2;1;1;6;14;46;37;26;27;19;40;33;19;15;6;288; ;1;12;12;0;0;0;16;16;4;4;2;3,25;3,5;4;2;3,25;3
321; ; ;as_rcic2;interview;2;2;3;3;2;4;4;4;4;4;2;4;5;4;5;5;5;5;5;5;5;4;5;5;1;1;1;1;1;4;2;5;4;1;1;4;1;1;1;2;4;5;5;4;5;3;4;4;5;4;5;5;5;3;3;3;4;5;5;5;2;1;1;1;1;2;2;2;1;1;2;1;1;1;1;1;1;4;4;4;4;1;1;4;3;1;1;4;3;1;1;1;1;1;4;3;2;1;1;31;38;56;64;47;54;41;50;63;39;37;14;534; ;1;12;12;0;0;0;1;1;4,75;3,25;1,25;1,75;1;4;2,25;1;2
324; ; ;as_rcic2;interview;4;4;4;3;3;3;4;3;3;2;3;3;4;3;4;4;4;4;4;4;4;2;4;4;3;3;3;3;3;3;3;4;4;2;3;3;3;3;3;3;3;4;4;4;3;1;3;4;4;3;4;3;4;4;4;3;3;2;4;4;3;3;4;4;3;3;3;4;4;2;3;2;3;3;3;2;2;3;3;4;3;2;3;4;2;2;2;2;2;3;2;3;3;1;2;1;2;1;1;7;24;29;25;21;19;19;79;16;20;11;9;228; ;1;12;12;0;0;0;19;19;3,5;3,5;3,5;3,5;2,75;3,25;2;2,75;1
327; ; ;as_rcic2;interview;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;4;5;5;3;5;5;1;1;1;1;1;1;1;2;1;1;3;1;2;1;1;1;3;1;3;1;1;1;2;2;4;5;5;1;4;3;4;4;5;5;5;3;1;1;1;3;1;3;1;1;1;3;2;2;5;5;5;5;5;4;3;5;4;4;4;5;1;1;1;5;3;1;1;3;1;1;1;2;2;1;1;15;32;118;49;44;59;42;41;44;29;35;28;454; ;1;12;12;0;0;0;0;0;3,75;4;1,5;1,5;5;4;2;1,5;3
