CASE;SERIAL;subject;QUESTNNR;MODE;DO07_01;TIME001;TIME002;TIME004;TIME005;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;sex;bildung;citizen;migr;empathy_1;empathy_2;empathy_3;empathy_4;empathy_5;empathy_6;empathy_7;empathy_8;empathy_9;empathy_10;empathy_11;empathy_12;empathy_13;empathy_14;empathy_15;empathy_16;empathy_17;empathy_18;empathy_19;empathy_20;empathy_21;empathy_22;empathy_23;empathy_24;empathy_25;empathy_26;support_1;support_2;support_3;support_4;support_5;support_6;ni_1;ni_2;ni_3;ni_4;ni_5;ni_6;ni_7;ni_8;ni_9;ni_10;ni_11;ni_12;ni_13;ni_14;ni_15;ni_16;group;empathy;distress;ni_a;ni_g;ZDO07_01;Zempathy;Zni_a;Zni_g;Zgroup;grnia;grnig;niag;grniag;age_groups;ZSco01;ZSco02;ZSco03;ZSco04
 ; ;51; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1;0;4;1;6;1;1;6;5;1;4;4;6;4;1;5;4;5;2;1;1;1;1;2;4;1;1;2;3;4;1;7;2;5;3;1;1;1;4;1;4;1;4;4;1;1;1;1;4;2;1;3,16666666666667;3,75;2,75;1,5; ;-,696898008947908;-,39210983946104;-1,23056140360931;1;-,39210983946104;-1,23056140360931;,4825152344162;,4825152344162;1; ;-,696898008947908;-,39210983946104;-1,23056140360931
420; ;52;sek_AS_israel3;interview;50;13;12; ;55;80; ;1;5;5;0;0;0;24;24;2;3;1;9;7;7;7;4;4;7;1;7;1;7;7;1;7;1;4;7;7;4;7;1;1;1;7;1;7;1;3;5;1;1;1;1;7;4;3;1;7;1;1;4;7;7;1;1;7;1;7;1;0;6;4;5;2,5;2,10911052952841;2,10076966070803;1,47730031407754;-,0540246469877272;-1;-1,47730031407754;,0540246469877272;-,0798106279628976;,0798106279628976; ;2,10911052952841;2,10076966070803;1,47730031407754;-,0540246469877272
 ; ;54; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;1;7;7;5;2;2;5;6;4;6;6;5;6;7;6;7;5;5;1;5;1;5;7;7;3;4;5;6;6;4;6;3;4;6;5;3;2;5;2;3;4;3;1;3;2;4;2;2;2;0;4,66666666666667;5,75;3,625;2,5; ;,784220169105236;,334882998026185;-,0540246469877272;-1;-,334882998026185;,0540246469877272;-,0180919357505564;,0180919357505564;3; ;,784220169105236;,334882998026185;-,0540246469877272
 ; ;55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;6;1;5;2;1;3;5;6;4;5;4;5;5;4;2;5;2;2;3;1;7;3;6;3;1;4;4;5;1;5;2;2;2;3;1;1;1;1;1;1;2;2;1;1;1;1;5;4;1;3;4,75;1,75;1,75; ;-,861466695398257;-1,2229587965893;-,936427214453918;1;-1,2229587965893;-,936427214453918;1,14521189928203;1,14521189928203;3; ;-,861466695398257;-1,2229587965893;-,936427214453918
425; ;56;sek_AS_israel3;interview;50;32;13; ;84;129; ;1;5;5;0;0;0;0;0;1;3;1;0;6;1;6;1;1;6;6;2;6;5;7;7;5;5;1;7;1;1;3;1;4;4;4;3;1;4;3;5;1;6;2;4;5;5;5;2;5;1;3;2;3;4;2;7;5;1;6;3;0;3,5;5,375;4,25;3,125;2,10911052952841;-,367760636047209;,854163596231346;,681310825900765;-1;-,854163596231346;-,681310825900765;,581950905202746;-,581950905202746;1;2,10911052952841;-,367760636047209;,854163596231346;,681310825900765
423; ;57;sek_AS_israel3;interview;20;18;9;25; ;52; ;1;4;4;0;0;0;37;37;1;3;1;0;7;7;7;7;1;7;5;7;7;7;7;6;5;5;1;7;1;1;7;1;4;3;4;1;2;1;2;7;4;6;2;3;5;6;6;2;6;1;7;3;5;6;7;1;5;1;7;5;1;6;6,125;6;3,125;,00438484517573474;2,10076966070803;2,3081492712058;,681310825900765;1;2,3081492712058;,681310825900765;1,57256708626747;1,57256708626747;2;,00438484517573474;2,10076966070803;2,3081492712058;,681310825900765
 ; ;58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;6;4;5;3;3;6;4;7;5;5;7;5;5;6;3;6;2;1;4;1;5;3;6;1;5;4;2;5;1;7;2;5;5;5;2;2;2;1;1;1;5;5;2;2;1;3;5;5;0;4,5;5,5;2,875;3; ;,619651482654887;-,288253719820008;,534243731323066;-1;,288253719820008;-,534243731323066;-,153997742844395;,153997742844395;2; ;,619651482654887;-,288253719820008;,534243731323066
426; ;59;sek_AS_israel3;interview;10;17;10;12; ;39; ;1;4;4;33;33;99;81;180;2;3;1;0;7;4;7;7;4;6;6;4;1;7;7;6;7;1;4;6;4;3;5;1;4;1;7;1;4;7;4;6;2;5;3;5;3;6;6;4;4;4;5;5;5;6;3;1;3;1;7;4;1;5,83333333333333;4,875;4,5;3,875;-,697190382941823;1,93620097425768;1,06187583551341;1,56371339336696;1;1,06187583551341;1,56371339336696;1,66046946608505;1,66046946608505;2;-,697190382941823;1,93620097425768;1,06187583551341;1,56371339336696
422; ;60;sek_AS_israel3;interview;15;22;8;46; ;76; ;1;4;4;0;0;0;18;18;2;3;1;0;6;3;6;3;2;3;3;3;4;3;4;5;5;2;3;5;2;2;3;1;1;2;5;1;1;2;6;5;2;6;3;3;5;4;4;2;5;1;2;3;4;5;2;1;2;1;5;4;0;3,83333333333333;3,625;3,625;2,625;-,346402768883044;-,0386232631465106;,334882998026185;,0930424475899712;-1;-,334882998026185;-,0930424475899712;,0311583337926238;-,0311583337926238;2;-,346402768883044;-,0386232631465106;,334882998026185;,0930424475899712
427; ;61;sek_AS_israel3;interview;25;14;13;109; ;136; ;1;4;4;0;0;0;12;12;2;3;1;2;6;1;6;1;2;6;5;6;6;6;2;6;2;5;2;5;5;2;5;1;6;4;6;1;1;4;6;6;1;6;2;6;4;5;5;2;2;2;3;2;3;6;2;1;2;1;1;5;1;3,66666666666667;4,75;2,75;3;,355172459234514;-,20319194959686;-,39210983946104;,534243731323066;1;-,39210983946104;,534243731323066;-,209482223722155;-,209482223722155;3;,355172459234514;-,20319194959686;-,39210983946104;,534243731323066
428; ;62;sek_AS_israel3;interview;50;20;14; ;90;124; ;1;5;5;0;0;0;3;3;1;3;1;0;6;2;6;5;3;7;5;6;5;6;1;5;6;5;2;5;4;2;5;1;5;5;6;5;5;5;5;5;2;7;3;5;5;5;2;4;5;4;4;3;5;7;2;1;4;2;6;3;0;4,83333333333333;4,875;4,125;3,625;2,10911052952841;,948788855555585;,750307476590314;1,26957920421156;-1;-,750307476590314;-1,26957920421156;,952574769043513;-,952574769043513;1;2,10911052952841;,948788855555585;,750307476590314;1,26957920421156
429; ;63;sek_AS_israel3;interview;25;26;11;51; ;88; ;1;4;4;0;0;0;6;6;1;3;1;0;7;4;7;5;2;7;7;7;7;7;7;7;7;5;4;6;3;1;4;1;6;5;7;3;1;6;2;7;3;7;2;4;5;4;5;4;6;2;5;2;4;5;2;1;5;1;6;4;1;5,33333333333333;6,75;4,75;2,875;,355172459234514;1,44249491490663;1,26958807479547;,387176636745368;1;1,26958807479547;,387176636745368;,491554840851339;,491554840851339;2;,355172459234514;1,44249491490663;1,26958807479547;,387176636745368
 ; ;64; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;9;2;1;7;5;2;5;2;3;7;6;4;5;3;6;7;6;2;3;2;5;5;1;7;7;7;1;1;1;7;6;1;7;1;6;6;4;1;1;3;1;1;1;2;7;1;1;1;1;1;1;0;4;5,5;2;2,125; ;,125945423303839;-1,01524655730723;-,495225930720822;-1;1,01524655730723;,495225930720822;,502776421253585;-,502776421253585;2; ;,125945423303839;-1,01524655730723;-,495225930720822
 ; ;65; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;7;6;7;6;4;6;6;6;5;6;7;5;6;5;2;5;3;2;4;1;4;4;5;1;2;5;2;5;1;6;2;2;4;3;5;4;2;1;5;2;4;6;2;2;3;1;5;3;1;6;5,75;3,75;2,75; ;2,10076966070803;,438739117667217;,24010954216767;1;,438739117667217;,24010954216767;,105345448674123;,105345448674123;1; ;2,10076966070803;,438739117667217;,24010954216767
 ; ;66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;6;5;6;4;2;3;3;4;4;6;6;5;6;3;1;5;2;1;2;1;3;2;5;2;1;5;2;6;1;6;1;2;2;3;1;1;4;1;1;1;1;2;1;1;1;1;5;1;0;4,33333333333333;4,625;2;1,375; ;,455082796204537;-1,01524655730723;-1,37762849818701;-1;1,01524655730723;1,37762849818701;1,3986325900327;-1,3986325900327;2; ;,455082796204537;-1,01524655730723;-1,37762849818701
 ; ;67; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;3;7;5;7;5;4;7;6;6;5;7;7;6;7;5;4;7;4;3;5;1;5;5;6;6;2;6;5;7;1;1;1;7;5;4;3;1;7;1;1;1;2;4;1;1;1;1;3;2;1;5,83333333333333;6,125;2,875;1,875; ;1,93620097425768;-,288253719820008;-,789360119876219;1;-,288253719820008;-,789360119876219;,227535990831887;,227535990831887;1; ;1,93620097425768;-,288253719820008;-,789360119876219
 ; ;68; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;6;4;5;4;1;5;5;7;5;7;5;7;5;7;1;7;2;1;7;1;7;3;7;1;1;5;6;6;1;7;1;6;4;6;6;2;7;1;5;4;4;5;2;1;3;1;4;5;0;4,16666666666667;6;4,375;3,125; ;,290514109754188;,958019715872378;,681310825900765;-1;-,958019715872378;-,681310825900765;,652709203850226;-,652709203850226;1; ;,290514109754188;,958019715872378;,681310825900765
430; ;69;sek_AS_israel3;interview;25;35;16;90; ;141; ;1;4;4;0;0;0;0;0;1;3;1;0;7;4;7;3;1;6;5;7;6;6;7;7;6;5;2;5;1;2;5;1;7;5;7;5;4;7;2;6;2;6;5;7;4;4;3;1;1;1;2;1;2;3;2;1;1;1;1;3;1;4,66666666666667;6,125;2;1,875;,355172459234514;,784220169105236;-1,01524655730723;-,789360119876219;1;-1,01524655730723;-,789360119876219;,801395144179956;,801395144179956;1;,355172459234514;,784220169105236;-1,01524655730723;-,789360119876219
432; ;70;sek_AS_israel3;interview; ;18;17;128; ;163; ;1;4;4;33;31;93;6;99;1;3;1;0;7;3;6;6;2;5;6;5;2;7;6;6;6;5;2;4;1;1;4;1;2;6;6;1;5;3;5;6;2;7;1;4;4;5;6;2;3;4;3;2;3;4;3;1;4;1;4;3;0;4,83333333333333;5,375;3,75;2,75; ;,948788855555585;,438739117667217;,24010954216767;-1;-,438739117667217;-,24010954216767;,105345448674123;-,105345448674123;2; ;,948788855555585;,438739117667217;,24010954216767
433; ;71;sek_AS_israel3;interview;5;25;10;78; ;113; ;1;4;4;0;0;0;5;5;2;3;1;0;4;3;5;2;1;3;2;6;3;3;2;2;4;2;1;5;2;1;5;1;3;1;6;1;2;1;1;4;1;4;1;6;2;5;1;1;1;2;1;1;2;6;1;1;1;2;3;1;1;3;3;1,5;2,375;-1,0479779970006;-,861466695398257;-1,43067103587136;-,201091741565426;1;-1,43067103587136;-,201091741565426;,287696130210584;,287696130210584;2;-1,0479779970006;-,861466695398257;-1,43067103587136;-,201091741565426
434; ;72;sek_AS_israel3;interview; ;32;24;197; ;253; ;1;4;4;33;31;93;0;93;2;4;1;0;2;2;2;1;1;2;2;1;1;1;1;2;2;2;1;1;1;1;2;1;1;2;3;1;2;1;4;5;1;6;1;4;5;7;6;2;5;2;4;1;2;2;1;1;2;1;1;2;0;1,66666666666667;1,5;3,25;2,25; ;-2,17801618700105;,0233146391030887;-,348158836143124;-1;-,0233146391030887;,348158836143124;-,00811719761522834;,00811719761522834;3; ;-2,17801618700105;,0233146391030887;-,348158836143124
439; ;73;sek_AS_israel3;interview;20;24;18;188; ;230; ;1;4;4;0;0;0;0;0;2;3;1;0;4;2;6;1;1;6;2;7;6;4;3;3;5;4;2;5;2;1;1;1;2;2;3;1;1;1;4;6;1;7;2;1;5;6;2;1;4;1;5;5;4;1;1;2;3;1;5;1;1;3,33333333333333;4,25;3,625;2,25;,00438484517573474;-,532329322497559;,334882998026185;-,348158836143124;1;,334882998026185;-,348158836143124;-,116592474836917;-,116592474836917;2;,00438484517573474;-,532329322497559;,334882998026185;-,348158836143124
437; ;74;sek_AS_israel3;interview;20;57;19;40; ;116; ;1;4;4;0;0;0;9;9;2;4;1;0;5;3;2;3;1;3;4;7;5;5;5;4;1;2;1;6;1;1;2;1;1;1;5;1;2;1;2;7;1;7;1;7;4;4;5;1;1;1;2;1;2;4;1;1;1;1;2;1;0;2,83333333333333;4,125;2,25;1,75;,00438484517573474;-1,02603538184861;-,807534318025169;-,936427214453918;-1;,807534318025169;,936427214453918;,756197112004253;-,756197112004253;3;,00438484517573474;-1,02603538184861;-,807534318025169;-,936427214453918
436; ;75;sek_AS_israel3;interview;20;24;12;39; ;75; ;1;4;4;0;0;0;11;11;2;3;1;0;4;2;4;2;1;3;1;2;3;2;2;3;2;2;1;4;1;2;3;1;1;1;2;1;2;1;6;5;2;5;3;2;6;6;6;5;6;5;6;5;6;5;6;2;4;3;2;2;1;2,66666666666667;2,125;5,25;4,125;,00438484517573474;-1,19060406829896;1,6850125533596;1,85784758252235;1;1,6850125533596;1,85784758252235;3,13049649877896;3,13049649877896;2;,00438484517573474;-1,19060406829896;1,6850125533596;1,85784758252235
 ; ;76; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;3;1;5;2;1;5;5;3;1;3;6;4;6;2;1;5;1;1;2;1;2;4;3;2;1;3;3;4;2;7;6;4;5;3;5;4;5;2;4;6;4;4;2;1;3;1;1;2;0;2,83333333333333;3,75;3,625;2,875; ;-1,02603538184861;,334882998026185;,387176636745368;-1;-,334882998026185;-,387176636745368;,129658872878984;-,129658872878984;2; ;-1,02603538184861;,334882998026185;,387176636745368
 ; ;77; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;6;3;6;4;1;6;4;5;5;4;6;5;6;5;2;6;4;3;6;3;3;2;5;2;2;4;5;5;3;6;2;5;3;5;5;4;3;1;3;1;3;5;3;2;2;2;2;2;1;4,33333333333333;5;3;2,75; ;,455082796204537;-,184397600178976;,24010954216767;1;-,184397600178976;,24010954216767;-,0442756233557908;-,0442756233557908;1; ;,455082796204537;-,184397600178976;,24010954216767
443; ;78;sek_AS_israel3;interview; ;13;12;55; ;80; ;1;4;4;33;31;93;17;111;2;3;1;9;6;1;5;2;1;6;6;6;4;5;6;6;5;1;1;4;1;1;6;1;1;1;7;1;6;1;6;7;2;4;3;2;6;6;6;4;7;2;6;1;6;3;2;2;6;2;6;1;0;3,5;4,875;5,625;2,625; ;-,367760636047209;1,9965809122827;,0930424475899712;-1;-1,9965809122827;-,0930424475899712;,1857667748902;-,1857667748902;1; ;-,367760636047209;1,9965809122827;,0930424475899712
440; ;79;sek_AS_israel3;interview;25;15;10;315; ;87; ;1;4;4;0;0;0;15;15;1;3;1;0;6;3;5;3;1;7;4;6;7;6;7;7;7;5;1;6;2;1;3;1;5;6;5;3;5;2;6;6;1;6;2;2;5;5;3;2;5;3;3;2;2;5;2;1;3;1;4;5;1;4,16666666666667;6,125;3,375;3;,355172459234514;,290514109754188;,127170758744121;,534243731323066;1;,127170758744121;,534243731323066;,0679401806666446;,0679401806666446;1;,355172459234514;,290514109754188;,127170758744121;,534243731323066
441; ;80;sek_AS_israel3;interview; ;7;26;49; ;82; ;1;4;4;33;31;93;45;138;1;4;1;0;6;2;6;3;1;5;3;5;5;5;6;2;1;4;2;4;1;1;5;1;4;1;7;1;1;1;6;5;4;7;3;1;7;4;7;3;4;1;6;2;6;5;2;3;3;2;7;4;0;3,83333333333333;3,875;5,25;3; ;-,0386232631465106;1,6850125533596;,534243731323066;-1;-1,6850125533596;-,534243731323066;,900207393833042;-,900207393833042;2; ;-,0386232631465106;1,6850125533596;,534243731323066
 ; ;81; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1;0;5;4;5;4;1;5;4;6;5;3;6;4;4;4;3;4;3;1;2;1;4;1;4;1;1;5;3;6;1;5;1;5;6;5;5;3;3;1;4;1;4;4;3;1;1;4;2;2;1;4;4,5;3,5;2,625; ;,125945423303839;,231026878385153;,0930424475899712;1;,231026878385153;,0930424475899712;,0214953062240252;,0214953062240252;1; ;,125945423303839;,231026878385153;,0930424475899712
444; ;82;sek_AS_israel3;interview;25;22;13;67; ;102; ;1;4;4;0;0;0;2;2;2;3;1;0;2;4;4;1;1;1;1;1;1;3;1;1;5;1;5;6;3;1;2;1;1;1;1;1;1;2;7;6;1;6;2;4;5;6;5;2;6;1;5;3;5;6;1;1;1;1;7;2;0;2,16666666666667;1,75;4,375;2,75;,355172459234514;-1,68431012765;,958019715872378;,24010954216767;-1;-,958019715872378;-,24010954216767;,230029675365718;-,230029675365718;1;,355172459234514;-1,68431012765;,958019715872378;,24010954216767
442; ;83;sek_AS_israel3;interview;20;15;11;45; ;71; ;1;4;4;0;0;0;19;19;2;3;1;0;5;1;5;4;1;5;3;5;5;5;4;4;4;3;2;6;2;1;2;1;2;1;5;1;1;2;7;6;1;7;1;5;5;4;2;1;5;2;1;1;3;5;1;1;2;1;5;3;1;3,5;4,125;3;2,25;,00438484517573474;-,367760636047209;-,184397600178976;-,348158836143124;1;-,184397600178976;-,348158836143124;,0641996538658973;,0641996538658973;1;,00438484517573474;-,367760636047209;-,184397600178976;-,348158836143124
445; ;84;sek_AS_israel3;interview;10;31;23;38; ;92; ;1;4;4;0;0;0;10;10;2;3;1;0;5;2;5;3;1;5;5;5;6;6;6;6;6;6;4;6;4;2;3;1;4;6;6;4;2;4;5;5;4;5;6;6;5;4;6;4;6;1;4;4;4;4;4;4;5;2;5;4;0;3,5;5,75;4,875;3,375;-,697190382941823;-,367760636047209;1,37344419443651;,975445015056162;-1;-1,37344419443651;-,975445015056162;1,33971929292092;-1,33971929292092;1;-,697190382941823;-,367760636047209;1,37344419443651;,975445015056162
446; ;85;sek_AS_israel3;interview; ;22;13;60; ;95; ;1;4;4;33;31;93;2;95;1;4;1;1;6;4;6;1;1;3;6;7;5;6;3;4;6;1;1;7;1;1;1;1;1;1;1;1;1;1;4;7;1;7;1;7;4;3;3;2;3;1;1;1;3;4;1;1;3;1;2;1;1;3,5;4,75;2,5;1,75; ;-,367760636047209;-,599822078743104;-,936427214453918;1;-,599822078743104;-,936427214453918;,561689718365364;,561689718365364;3; ;-,367760636047209;-,599822078743104;-,936427214453918
447; ;86;sek_AS_israel3;interview;40;27;10;28; ;65; ;1;4;4;0;0;0;25;25;1;3;1;0;5;4;5;4;5;5;3;6;5;7;4;5;5;7;1;6;3;1;1;1;5;4;7;3;2;5;4;7;1;6;2;4;3;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;0;4,66666666666667;5,25;1,25;1,375;1,40753530141085;,784220169105236;-1,63838327515343;-1,37762849818701;-1;1,63838327515343;1,37762849818701;2,25708349080433;-2,25708349080433;3;1,40753530141085;,784220169105236;-1,63838327515343;-1,37762849818701
449; ;87;sek_AS_israel3;interview;0;28;23;40; ;91; ;1;4;4;0;0;0;9;9;2;3;2;9;5;4;4;5;3;6;5;7;6;6;4;6;5;5;3;6;4;3;3;1;5;5;5;3;4;4;6;7;1;6;2;6;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4,5;5,5;1;1,375;-1,39876561105938;,619651482654887;-1,84609551443549;-1,37762849818701;1;-1,84609551443549;-1,37762849818701;2,54323379106155;2,54323379106155;3;-1,39876561105938;,619651482654887;-1,84609551443549;-1,37762849818701
450; ;88;sek_AS_israel3;interview;25;82;22;401; ;108; ;1;4;4;0;0;0;0;0;2;4;2;0;2;1;1;1;1;1;1;5;3;2;4;1;5;1;4;6;4;4;3;1;1;1;4;1;1;1;6;7;1;6;2;3;6;5;2;1;6;1;1;1;7;4;1;1;4;2;2;1;0;1,16666666666667;2,75;3,625;2;,355172459234514;-2,6717222463521;,334882998026185;-,642293025298521;-1;-,334882998026185;,642293025298521;-,215093013923277;,215093013923277;3;,355172459234514;-2,6717222463521;,334882998026185;-,642293025298521
 ; ;89; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;7;2;7;1;1;7;4;2;5;4;5;6;4;3;1;6;5;1;5;1;2;4;6;1;1;6;3;5;1;5;2;3;6;5;5;3;4;1;5;4;4;7;4;2;3;4;3;4;1;4,16666666666667;4,125;4,25;3,75; ;,290514109754188;,854163596231346;1,41664629878926;1;,854163596231346;1,41664629878926;1,21004769716166;1,21004769716166;1; ;,290514109754188;,854163596231346;1,41664629878926
 ; ;90; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1;0;5;4;6;3;3;4;1;4;2;3;3;3;4;1;3;7;1;3;1;1;1;2;2;1;1;4;7;7;1;7;3;6;2;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;0;4,16666666666667;2,625;1,25;1,25; ;,290514109754188;-1,63838327515343;-1,52469559276471;-1;1,63838327515343;1,52469559276471;2,49803575888584;-2,49803575888584;3; ;,290514109754188;-1,63838327515343;-1,52469559276471
 ; ;91; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1;0;7;4;6;6;1;7;3;7;6;7;7;7;7;6;4;7;7;1;3;1;4;5;7;3;3;2;5;7;1;6;1;6;1;2;1;1;2;1;1;1;1;2;1;1;1;1;5;1;1;5,16666666666667;6,25;1,625;1,25; ;1,27792622845628;-1,32681491623033;-1,52469559276471;1;-1,32681491623033;-1,52469559276471;2,02298885519086;2,02298885519086;3; ;1,27792622845628;-1,32681491623033;-1,52469559276471
 ; ;92; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;6;2;6;1;2;7;6;7;6;6;4;7;6;6;2;7;3;1;2;1;4;5;7;4;2;6;4;7;2;7;1;4;4;5;1;4;4;3;2;1;3;2;1;1;1;1;4;4;0;4;6;2,5;2,625; ;,125945423303839;-,599822078743104;,0930424475899712;-1;,599822078743104;-,0930424475899712;-,0558089143247628;,0558089143247628;2; ;,125945423303839;-,599822078743104;,0930424475899712
451; ;93;sek_AS_israel3;interview;25;21;10;45; ;76; ;1;4;4;33;33;99;13;112;2;3;1;0;7;4;6;6;1;6;6;5;1;5;7;2;2;4;1;2;2;1;3;2;4;2;6;2;5;7;2;6;3;7;6;2;6;5;6;2;2;1;5;2;4;5;2;2;2;1;1;5;1;5;4;3,5;2,875;,355172459234514;1,11335754200593;,231026878385153;,387176636745368;1;,231026878385153;,387176636745368;,0894482097709447;,0894482097709447; ;,355172459234514;1,11335754200593;,231026878385153;,387176636745368
 ; ;94; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;6;3;5;5;2;5;6;5;4;5;3;7;6;7;1;5;2;3;4;1;4;3;5;1;1;1;2;4;1;7;3;5;6;4;4;2;3;4;3;1;5;5;2;2;2;2;3;1;0;4,33333333333333;5,375;3,5;2,625; ;,455082796204537;,231026878385153;,0930424475899712;-1;-,231026878385153;-,0930424475899712;,0214953062240252;-,0214953062240252;1; ;,455082796204537;,231026878385153;,0930424475899712
455; ;95;sek_AS_israel3;interview;2;54;13;16; ;83; ;1;4;4;0;0;0;47;47;1;4;1;0;5;1;5;1;1;4;1;4;1;1;5;1;4;4;1;1;1;1;1;1;1;1;5;1;1;4;4;5;2;2;2;4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;2,83333333333333;2,625;1,75;1,125;-1,25845056543587;-1,02603538184861;-1,2229587965893;-1,67176268734241;1;-1,2229587965893;-1,67176268734241;2,04449688429516;2,04449688429516; ;-1,25845056543587;-1,02603538184861;-1,2229587965893;-1,67176268734241
454; ;96;sek_AS_israel3;interview;25;40;24;21; ;85; ;1;4;4;33;33;99;32;131;1;4;1;0;5;3;5;3;1;5;4;5;4;5;4;5;5;5;2;5;2;2;2;1;4;4;5;1;3;3;2;4;2;7;1;5;5;3;3;1;3;1;2;1;2;3;1;1;1;1;2;2;0;3,66666666666667;4,625;2,375;1,625;,355172459234514;-,20319194959686;-,703678198384136;-1,08349430903162;-1;,703678198384136;1,08349430903162;,762431323338832;-,762431323338832;3;,355172459234514;-,20319194959686;-,703678198384136;-1,08349430903162
457; ;97;sek_AS_israel3;interview;35;71;10;152; ;186; ;1;4;4;0;0;0;5;5;1;3;1;1;5;1;6;1;1;2;4;5;6;5;7;7;4;4;2;5;2;1;2;1;4;5;7;1;2;5;7;6;1;5;1;4;2;3;1;1;2;1;1;1;3;5;1;1;1;1;1;3;1;2,66666666666667;5,25;1,5;2;1,05674768735207;-1,19060406829896;-1,43067103587136;-,642293025298521;1;-1,43067103587136;-,642293025298521;,918910027836786;,918910027836786;2;1,05674768735207;-1,19060406829896;-1,43067103587136;-,642293025298521
456; ;98;sek_AS_israel3;interview;25;45;17;283; ;124; ;1;4;4;0;0;0;0;0;1;3;1;9;6;1;6;2;1;2;2;6;1;4;6;1;1;3;2;6;3;1;4;1;1;1;2;1;2;1;4;5;3;7;3;4;6;5;6;4;5;3;5;5;4;5;3;1;4;1;2;2;0;3;3;4,375;3,25;,355172459234514;-,861466695398257;,958019715872378;,828377920478463;-1;-,958019715872378;-,828377920478463;,793602380011729;-,793602380011729;3;,355172459234514;-,861466695398257;,958019715872378;,828377920478463
458; ;99;sek_AS_israel3;interview; ;13;15;77; ;105; ;1;4;4;33;31;93;14;107;2;4;1;0;6;1;6;2;2;3;1;4;2;5;2;2;5;4;1;5;1;1;1;1;2;1;2;1;1;1;5;6;1;6;2;6;3;4;5;1;4;1;1;2;4;1;1;1;3;1;4;1;1;3,33333333333333;3,125;3,125;1,5; ;-,532329322497559;-,0805414805379435;-1,23056140360931;1;-,0805414805379435;-1,23056140360931;,099111237339544;,099111237339544;3; ;-,532329322497559;-,0805414805379435;-1,23056140360931
459; ;100;sek_AS_israel3;interview;5;228;31;286; ;117; ;1;4;4;0;0;0;0;0;1;3;1;0;5;1;5;4;1;5;5;1;2;5;1;1;5;1;1;4;1;1;2;1;1;1;1;1;1;1;4;5;4;5;4;2;4;5;4;4;4;2;1;4;3;4;3;3;2;5;6;6;0;3,5;2,625;3,375;4,125;-1,0479779970006;-,367760636047209;,127170758744121;1,85784758252235;-1;-,127170758744121;-1,85784758252235;,236263886700298;-,236263886700298;3;-1,0479779970006;-,367760636047209;,127170758744121;1,85784758252235
