CASE;SERIAL;REF;QUESTNNR;MODE;R001_01;R001_02;R001_03;R001_04;R001_05;R001_06;R001_07;R001_08;R001_09;R001_10;R001_11;R001_12;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R007_01;R007_02;R007_03;R007_04;R007_05;R007_06;R007_07;R007_08;R007_09;R007_10;R007_11;R007_12;R008_01;R008_02;R008_03;R008_04;R008_05;R008_06;R008_07;R008_08;R008_09;R008_10;R008_11;R008_12;CO01;CO02;DE02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;jhol_warmth;jhol_comp;chol_warmth;chol_comp;jctr_warmth;jctr_comp;cctr_warmth;cctr_comp;age_groups
247; ; ;as_rcic4;interview;4;2;3;4;3;4;4;5;3;5;3;3;3;4;3;3;3;4;4;3;4;3;2;2;2;3;4;4;2;3;3;3;2;4;2;3;4;3;3;3;2;4;4;4;4;3;2;3;5;5;3;3;4;4;4;2;4;5;4;4;5;1;1;2;2;4;3;3;5;2;1;4;3;2;2;4;3;4;3;2;2;4;3;2;3;1;3;4;1;3;3;3;3;3;1;3;2;1;2;9;33;48;47;49;43;39;44;40;44;38;42;476; ;1;12;12;0;0;0;0;0;4;3,5;2,25;3,75;2,75;2,75;2,75;3;2
248; ; ;as_rcic4;interview;3;3;3;2;2;2;2;3;3;3;2;2;4;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;2;4;4;3;3;3;3;3;3;3;4;4;2;3;3;4;4;4;3;4;4;4;4;4;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;2;1;2;17;18;36;29;26;28;23;32;31;26;18;17;301; ;1;12;12;0;0;0;3;3;4;4;3;3,5;3,75;4;3;3,25;2
249; ; ;as_rcic4;interview;4;3;3;2;3;4;4;3;3;3;4;3;2;3;3;3;3;4;3;4;3;3;4;2;3;3;3;3;3;4;4;4;4;4;4;4;2;3;3;3;3;4;4;4;4;3;4;4;2;3;4;2;3;4;4;4;3;4;4;-9;3;3;-9;2;2;4;4;3;3;3;4;4;3;3;3;2;4;4;4;4;3;4;4;4;2;3;2;2;3;4;3;3;3;3;4;1;2;1;2;43;17;69;47;33;44;39;35;33;28;39;29;456; ;1;12;12;2;2;40;0;40;2,75;3,75;2,66666666666667;3,5;2,75;3,75;2,25;3,25;3
252; ; ;as_rcic4;interview;4;3;4;4;4;3;4;4;4;3;4;5;4;4;4;4;4;3;3;4;3;3;4;5;4;4;5;4;4;3;3;4;3;3;4;5;3;4;4;4;4;3;4;4;4;3;4;4;3;3;4;4;4;3;4;4;4;3;4;3;3;3;3;4;3;3;3;4;3;3;4;3;4;3;4;4;3;4;5;4;5;3;4;4;3;3;4;4;3;3;4;4;4;3;4;4;2;1;1;4;26;34;26;22;30;24;29;17;22;26;62;276; ;1;12;12;0;0;0;10;10;3,5;3,75;3,25;3,25;3,75;4,5;3,5;3,75;1
255; ; ;as_rcic4;interview;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;8;12;26;22;15;14;12;13;14;13;20;40;209; ;1;12;12;0;0;0;32;32;3;3;2;2;2;2;2;2;3
263; ; ;as_rcic4;interview;3;2;3;3;3;4;4;3;4;3;3;3;4;5;4;4;4;4;3;4;3;4;4;3;2;2;3;2;3;4;4;5;3;2;3;4;4;-9;4;3;4;4;3;4;4;3;4;4;2;2;3;3;2;4;3;4;4;3;2;4;2;2;2;2;2;-9;3;4;3;2;2;3;3;3;3;4;3;4;3;3;2;4;3;3;2;2;3;2;2;3;2;2;3;3;2;3;2;1;1;8;19;37;24;34;35;30;28;34;42;24;16;331; ;1;12;12;2;2;40;1;41;2,5;3,75;2;3,33333333333333;3,25;3;2,25;2,5;2
278; ; ;as_rcic4;interview;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;3;2;3;3;3;3;3;3;3;3;4;5;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;3;4;4;4;4;4;4;3;4;2;1;2;6;8;17;16;13;16;24;15;15;15;22;14;181; ;1;12;12;0;0;0;34;34;4;4;3,75;3,75;4;4;3,75;4;2
279; ; ;as_rcic4;interview;3;3;3;3;3;3;3;3;3;-9;3;4;3;3;3;3;3;3;3;3;5;3;3;4;3;3;3;3;3;3;3;5;4;3;3;4;3;3;3;3;2;3;3;5;5;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;5;4;3;3;4;3;3;3;3;2;3;3;4;5;3;3;4;2;1;1;5;23;59;38;24;25;20;16;14;24;55;55;286; ;1;12;12;1;1;20;12;32;3;3;3;3,5;3;3,75;3;3,75;1
285; ; ;as_rcic4;interview;4;4;4;2;3;3;2;3;3;2;3;3;2;3;3;3;3;4;3;4;2;2;4;2;3;2;3;3;3;3;4;2;4;2;3;2;3;3;4;3;3;3;2;4;3;2;4;3;3;3;3;4;4;3;3;4;2;3;3;3;3;2;3;2;3;3;2;2;2;2;3;2;2;2;3;3;4;3;3;2;2;2;3;3;3;4;4;4;4;3;3;3;4;3;4;3;2;1;1;82;41;101;57;73;162;87;95;56;52;50;58;429; ;1;12;12;0;0;0;0;0;3,25;3;2,5;2,25;2,5;2,5;3,75;3,25;3
292; ; ;as_rcic4;interview;3;3;3;2;3;4;4;3;3;2;3;3;3;3;3;3;1;4;2;1;3;2;3;4;3;2;3;2;3;4;3;3;3;4;2;2;4;3;4;3;4;4;3;3;3;3;2;2;3;2;4;2;4;4;2;3;3;3;3;4;5;3;4;3;4;3;3;4;4;3;4;5;2;4;2;2;3;3;4;4;3;2;3;4;2;2;2;3;3;3;4;4;4;3;3;1;2;1;2;5;7;10;9;13;11;10;14;28;10;28;94;161; ;1;12;12;0;0;0;60;60;2,75;3;3,75;3,5;2,5;3,5;2,25;3,75;1
293; ; ;as_rcic4;interview;4;5;4;3;4;3;3;5;4;4;5;5;4;3;4;4;4;3;3;4;3;2;4;4;2;2;2;2;2;4;4;4;3;3;1;2;3;3;4;3;3;4;4;5;5;2;3;4;4;4;4;2;3;3;3;4;4;3;4;5;5;4;4;3;3;3;4;4;5;3;4;5;4;4;4;3;4;3;-9;4;4;4;5;3;3;2;2;2;2;3;3;5;4;2;4;3;2;1;-9;3;18;31;26;26;23;33;30;23;33;29;10;285; ;1;12;12;2;2;40;13;53;3,5;3,5;4;4;3,75;3,66666666666667;2,25;3,75;2
295; ; ;as_rcic4;interview;2;2;1;2;2;2;3;3;3;1;2;2;3;2;3;3;2;2;2;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2;3;3;2;2;2;2;1;1;2;4;3;1;1;1;3;2;3;3;2;1;2;3;3;1;2;3;3;1;2;2;2;2;3;3;1;1;2;1;1;1;2;2;1;2;2;3;3;1;1;1;3;2;2;1;1;3;3;4;3;1;1;1;2;1;1;2;3;48;54;31;46;51;49;40;58;26;17;425; ;1;12;12;0;0;0;35;35;2,75;2,25;2;2,25;1,5;2,5;2;3,25;1
299; ; ;as_rcic4;interview;5;4;4;4;5;3;4;4;2;4;5;5;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;2;2;1;3;2;2;1;4;2;1;5;5;5;5;4;5;5;2;2;5;5;5;4;3;4;4;3;5;5;5;5;5;5;5;4;5;2;4;4;5;4;3;2;2;5;3;2;2;4;2;3;4;2;3;4;4;1;2;5;5;5;5;4;5;3;5;4;2;5;5;2;1;1;38;34;49;39;40;2;42;37;39;37;33;41;431; ;1;12;12;12;12;239;42;281;3,75;5;3,75;3,5;2,5;3,25;5;4,25;2
311; ; ;as_rcic4;interview;4;4;4;4;3;5;4;5;5;4;3;5;2;2;2;1;1;4;4;4;5;4;1;5;3;3;3;3;2;2;1;4;5;2;2;4;2;4;2;3;2;4;3;5;5;3;2;2;2;3;3;3;2;4;3;2;5;4;2;3;5;4;4;5;5;4;4;5;5;4;5;4;1;2;2;2;2;3;2;4;5;2;1;1;4;4;4;4;3;4;3;2;4;2;3;3;2;1;1;27;33;58;46;44;30;35;72;37;26;39;34;437; ;1;12;12;0;0;0;0;0;2,75;3,5;4,5;4,5;1,75;3,5;4;3,25;1
314; ; ;as_rcic4;interview;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-9;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;1;9;9;29;17;15;15;14;15;11;12;19;65;181; ;1;12;12;1;1;20;35;55;3;3;3;3;3;3;3;3;3
328; ; ;as_rcic4;interview;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;2;3;2;2;2;2;2;2;2;1;1;1;1;1;2;3;3;3;3;1;1;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;2;1;1;7;21;22;35;26;19;12;12;12;12;16;8;202; ;1;12;12;0;0;0;32;32;3;3;1;1;2;2;5;5;3
330; ; ;as_rcic4;interview;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;2;2;3;3;2;3;2;3;2;3;3;3;2;2;3;2;2;3;2;2;3;3;3;3;2;2;3;2;2;3;2;2;3;4;4;3;2;3;3;3;2;3;3;2;3;3;3;3;3;3;3;3;2;2;3;2;3;3;3;3;3;3;3;2;2;2;3;2;3;3;3;3;3;2;3;2;1;2;9;21;23;24;23;26;28;22;29;25;15; ;245; ;0;11;11;0;0;0;9;9;2,25;3,5;2,75;3;2,5;3;2,25;3;2
332; ; ;as_rcic4;interview;4;3;3;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3;3;4;4;4;4;4;4;3;3;2;3;3;3;3;2;3;4;2;3;3;3;3;3;3;3;3;4;3;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;2;4;4;4;2;1;1;15;16;50;36;32;28;30;45;24;29;23; ;328; ;0;11;11;0;0;0;1;1;3;3,5;4;3,75;4;4;4;2,25;3
335; ; ;as_rcic4;interview;4;4;4;4;3;4;4;4;4;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;2;3;3;3;2;3;3;3;3;3;2;3;2;2;2;2;2;4;4;4;4;4;2;2;3;3;2;3;2;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;2;3;2;2;2;3;3;3;3;3;2;3;3;2;2;2;1;3;3;3;3;2;1;3;2;1;1;20;15;62;34;35;46;35;41;41;44;19;19;411; ;1;12;12;0;0;0;2;2;2,75;3;3,25;3;2,25;3;2,25;3;3
337; ; ;as_rcic4;interview;4;3;4;4;4;3;4;3;4;3;3;4;3;1;2;1;3;2;2;2;1;1;2;3;5;4;4;3;5;4;4;5;5;3;4;4;5;4;5;3;4;4;5;5;5;3;4;4;2;2;2;2;3;3;4;4;5;3;4;2;5;5;4;4;5;3;5;4;5;4;4;5;2;1;2;1;2;2;3;2;5;2;1;1;3;3;5;2;5;4;4;4;5;2;4;2;2;1;1;3;9;24;22;22;23;54;22;26;23;16;7;251; ;1;12;12;0;0;0;26;26;2;4;4,5;4,25;1,5;3;3,25;4,25;2
338; ; ;as_rcic4;interview;4;2;2;3;3;3;3;3;3;3;3;2;3;4;4;3;4;4;3;3;3;3;3;4;3;2;3;2;2;3;3;3;2;3;3;2;3;2;3;3;4;3;3;3;3;3;3;2;3;4;4;3;3;3;-9;3;2;3;3;4;2;3;3;3;2;4;3;3;2;3;3;2;3;3;3;3;3;3;3;3;4;3;3;2;3;2;4;3;3;4;3;3;3;3;3;3;2;1;1;8;13;31;17;18;21;18;15;23;21;15;7;207; ;1;12;12;1;1;20;24;44;3,5;2,66666666666667;2,75;3;3;3,25;3;3,25;2
