CASE;SERIAL;REF;QUESTNNR;MODE;R002_01;R002_02;R002_03;R002_04;R002_05;R002_06;R002_07;R002_08;R002_09;R002_10;R002_11;R002_12;R002_13;R002_14;R002_15;R002_16;R002_17;R002_18;R002_19;R002_20;R002_21;R002_22;R002_23;R002_24;R002_25;R002_26;R002_27;R002_28;R002_29;R002_30;R002_31;R002_32;R002_33;R002_34;R002_35;R002_36;R002_37;R002_38;R002_39;R002_40;R002_41;R002_42;R002_43;R002_44;R002_45;R002_46;R002_47;R002_48;R002_49;R002_50;R002_51;R002_52;R002_53;R002_54;R002_55;R002_56;R002_57;R002_58;R002_59;R002_60;R002_61;R002_62;R002_63;R002_64;R003_01;R003_02;R003_03;R003_04;R003_05;R003_06;R003_07;R003_08;R003_09;R003_10;R003_11;R003_12;R003_13;R003_14;R003_15;R003_16;R003_17;R003_18;R003_19;R003_20;R003_21;R003_22;R003_23;R003_24;R003_25;R003_26;R003_27;R003_28;R003_29;R003_30;R003_31;R003_32;R003_33;R003_34;R003_35;R003_36;R003_37;R003_38;R003_39;R003_40;R003_41;R003_42;R003_43;R003_44;R003_45;R003_46;R003_47;R003_48;R003_49;R003_50;R003_51;R003_52;R003_53;R003_54;R003_55;R003_56;R003_57;R003_58;R003_59;R003_60;R003_61;R004_01;R004_02;R004_03;R004_04;R004_05;R004_06;R004_07;R004_08;R004_09;R004_10;R004_11;R004_12;R004_13;R004_14;R004_15;R004_16;R004_17;R004_18;R004_19;R004_20;R004_21;R004_23;R004_24;R004_25;R004_26;R004_27;R004_28;R004_29;R004_30;R004_31;R004_32;R004_33;R004_34;R004_35;R004_36;R004_37;R004_38;R004_39;R004_40;R004_41;R004_42;R004_43;R004_44;R004_45;R004_46;R004_47;R004_48;R004_49;R004_50;R004_51;R004_52;R004_53;R004_54;R004_55;R004_56;R004_57;R004_58;R004_59;R004_60;R004_61;R004_63;R004_62;R004_64;R005_01;R005_02;R005_03;R005_04;R005_05;R005_06;R005_07;R005_08;R005_09;R005_10;R005_11;R005_12;R005_13;R005_14;R005_15;R005_16;R005_17;R005_18;R005_19;R005_20;R005_21;R005_22;R005_23;R005_24;R005_25;R005_26;R005_27;R005_28;R005_29;R005_30;R005_31;R005_32;R005_33;R005_34;R005_35;R005_36;R005_37;R005_38;R005_39;R005_40;R005_41;R005_42;R005_43;R005_44;R005_45;R005_46;R005_47;R005_48;R005_49;R005_50;R005_51;R005_52;R005_53;R005_54;R005_55;R005_56;R005_57;R005_58;R005_59;R005_60;R006_01;R006_02;R006_03;R006_04;R006_05;R006_06;R006_07;R006_08;R006_09;R006_10;R006_11;R006_12;R006_13;R006_14;R006_15;R006_16;R006_17;R006_18;R006_19;R006_20;R006_21;R006_22;R006_23;R006_24;R006_25;R006_26;R006_27;R006_28;R006_29;R006_30;R006_31;R006_32;R006_33;R006_34;R006_35;R006_36;R006_37;R006_38;R006_39;R006_40;R006_41;R006_42;R006_43;R006_44;R006_45;R006_46;R006_47;R006_48;R006_49;R006_50;R006_51;R006_52;R006_53;R006_54;R006_55;R006_56;R006_57;R006_58;R006_59;R006_60;R006_61;R006_62;R006_63;R006_64;R006_65;R006_66;R006_67;R006_68;R006_69;R006_70;R006_71;R006_72;R006_73;R006_74;R006_75;R006_76;R006_77;R006_78;R006_79;R006_80;R006_81;R006_82;DE02;CO01;CO02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME_SUM;MAILSENT;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;age_groups
495; ; ;as3_ind;interview;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;3;110;98;20;6;237; ;1;5;5;0;0;0;43;43;1
496; ; ;as3_ind;interview;3;6;5;4;4;5;6;5;2;5;3;5;2;6;6;4;4;5;4;5;4;4;5;4;3;6;6;4;3;5;3;4;5;5;4;6;4;5;6;4;4;6;4;4;3;5;4;4;4;5;5;5;5;3;4;6;5;3;4;2;5;6;4;6;6;4;4;3;3;3;3;4;2;6;1;1;4;4;3;3;5;5;6;3;4;3;3;5;3;6;4;3;4;5;4;2;5;4;3;4;4;5;3;3;3;5;5;3;2;5;4;5;2;5;5;4;4;5;2;5;3;3;4;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;8;236;186;16;17;463; ;1;5;5;0;0;0;1;1;2
505; ; ;as3_ind;interview;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;-9;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-9;4;5;4;4;4;4;4;4;5;4;-9;4;4;4;4;4;4;4;-9;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;8;188;120;37;7;360; ;1;5;5;3;3;61;13;74;1
506; ; ;as3_ind;interview;7;1;1;7;4;4;7;1;7;1;1;7;4;4;7;7;7;1;4;7;7;4;7;1;7;4;4;1;1;1;1;4;1;1;1;1;4;1;1;4;7;4;1;7;4;7;5;1;7;1;4;1;1;1;1;7;1;4;1;1;7;7;7;7;7;4;1;7;1;7;1;1;1;4;1;1;1;1;4;4;1;1;4;1;7;1;4;4;4;1;7;1;4;1;1;1;4;1;1;1;7;7;1;1;1;1;7;1;1;7;4;7;1;7;7;7;1;4;1;1;1;4;4;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;3;247;224;24;6;504; ;1;5;5;0;0;0;32;32;2
508; ; ;as3_ind;interview;4;4;4;4;4;4;5;5;4;4;3;5;5;5;6;5;5;4;5;5;5;4;4;3;5;5;5;4;3;5;5;4;4;5;5;6;3;5;4;3;5;5;4;5;4;4;4;5;4;5;5;4;5;5;4;6;5;5;3;3;4;6;6;5;5;5;4;5;4;5;5;5;4;5;4;4;6;5;5;5;5;5;6;5;5;3;5;4;4;6;5;4;5;4;5;4;6;4;4;5;5;5;5;5;4;5;6;4;4;5;4;5;3;5;4;5;5;5;3;5;4;4;4;5;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;13;318;249;22; ;602; ;0;4;4;0;0;0;0;0;3
509; ; ;as3_ind;interview;4;4;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;-9;4;4;4;4;4;4;3;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;4;5;4;4;4;4;4;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;14;109;104;11;11;249; ;1;5;5;1;1;15;20;35;2
512; ; ;as3_ind;interview;3;5;3;5;4;2;2;6;3;2;2;6;2;2;7;5;6;2;6;2;2;6;6;4;5;2;6;6;2;2;6;2;6;3;2;6;2;5;4;2;3;5;3;2;5;4;6;4;4;2;3;3;5;4;2;6;6;2;5;5;2;3;6;5;2;5;2;3;3;5;3;5;2;6;6;5;5;6;7;6;2;4;5;2;6;3;4;6;3;2;2;6;3;2;6;6;4;4;2;6;2;4;2;4;4;2;6;2;6;6;4;6;2;7;2;3;6;5;5;1;6;3;2;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;3;93;124;11;27;258; ;1;5;5;0;0;0;34;34;1
515; ; ;as3_ind;interview;3;4;2;4;5;4;6;4;4;4;2;2;4;3;5;4;4;1;4;3;5;5;4;2;3;2;5;5;4;3;2;3;4;3;6;3;6;4;5;1;3;5;3;4;1;2;4;5;6;3;4;2;3;4;4;5;3;4;4;5;6;5;5;6;5;5;5;5;2;3;4;3;6;4;3;2;6;5;6;5;2;5;7;2;4;2;3;2;3;5;4;4;6;5;4;3;6;1;5;2;4;2;5;4;2;7;4;4;3;4;4;6;3;3;4;5;3;3;2;4;4;2;3;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;30;184;175;35;14;438; ;1;5;5;0;0;0;2;2;2
516; ; ;as3_ind;interview;3;2;4;3;4;3;2;3;5;1;4;5;2;4;4;4;2;3;4;5;4;3;3;3;3;3;4;3;5;4;3;3;2;3;3;6;4;3;3;1;5;5;5;2;3;2;2;2;5;5;2;5;3;-9;3;5;5;2;2;3;4;5;4;3;3;6;3;5;3;5;5;2;5;5;2;3;5;6;3;3;2;5;5;5;6;3;3;3;5;6;3;3;4;2;3;2;3;2;3;6;4;1;2;5;3;4;4;3;3;5;3;5;4;5;5;4;5;3;2;3;5;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;14;221;190;11;15;451; ;1;5;5;1;1;15;5;21;1
517; ; ;as3_ind;interview;3;3;2;4;2;2;5;5;2;3;3;3;2;4;6;4;4;4;2;2;4;2;4;4;2;5;4;5;4;5;4;2;3;4;2;4;4;2;2;3;4;2;2;3;2;2;2;3;2;2;4;4;3;6;2;5;4;2;4;4;3;5;6;4;6;6;3;2;4;3;2;5;4;2;5;2;4;4;3;5;2;2;5;6;5;2;5;2;3;4;5;4;6;3;2;3;5;4;3;2;3;2;2;4;2;4;6;2;4;4;2;4;2;4;4;2;2;3;2;3;3;5;3;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;3;216;200;13;23;455; ;1;5;5;0;0;0;20;20;3
526; ; ;as3_ind;interview;2;1;4;1;2;4;3;2;3;4;2;6;3;2;6;3;2;3;2;7;5;3;2;3;4;3;3;4;2;2;4;4;3;4;4;7;3;6;3;3;6;4;1;4;3;2;4;3;3;3;5;3;2;3;4;6;3;6;1;3;5;2;6;2;6;4;3;3;1;4;1;4;3;4;3;2;6;2;6;6;5;4;6;2;6;4;4;2;4;6;5;4;5;3;4;3;7;4;5;5;4;4;3;4;4;4;7;3;3;5;3;3;2;6;5;2;6;3;1;2;6;2;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;4;134;121;12;11;282; ;1;5;5;0;0;0;23;23;1
533; ; ;as3_ind;interview;4;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;5;4;5;4;4;3;4;4;4;4;4;4;4;4;3;4;4;5;4;5;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;3;5;3;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;12;240;209;23;35;519; ;1;5;5;0;0;0;0;0;3
534; ; ;as3_ind;interview;3;4;4;3;4;4;4;4;4;4;2;4;5;5;5;4;4;3;5;3;3;5;4;3;3;4;4;5;3;4;4;4;4;3;4;5;4;3;4;4;4;4;3;5;4;3;3;4;4;4;4;3;4;4;4;3;3;3;4;3;4;5;4;4;5;5;3;4;3;3;3;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;3;3;4;4;4;4;4;4;3;4;3;3;4;3;3;3;4;3;4;4;4;4;5;3;4;4;4;3;4;3;3;2;4;5;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;4;189;170;14;17;394; ;1;5;5;0;0;0;13;13;2
548; ; ;as3_ind;interview;3;3;2;3;3;4;5;4;3;3;3;6;4;5;5;3;3;3;3;3;4;3;3;3;3;3;5;3;3;3;3;3;3;3;3;5;3;3;4;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;5;5;4;4;3;3;2;4;3;3;3;3;2;3;5;3;2;4;3;4;5;2;3;2;3;3;3;4;3;3;3;3;3;3;2;3;3;5;3;2;3;3;2;3;5;3;3;4;3;3;2;5;3;3;3;2;3;2;3;2;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;17;176;166;14;13;386; ;1;5;5;0;0;0;5;5;3
549; ; ;as3_ind;interview;6;6;6;6;6;5;6;4;5;3;5;5;5;6;6;4;6;3;3;5;6;4;6;5;7;4;5;5;6;6;4;4;5;5;6;7;4;4;5;4;5;3;6;5;6;4;3;6;4;3;6;5;4;5;5;6;6;6;3;5;6;4;4;6;7;6;5;4;6;6;4;4;6;7;7;5;6;6;6;5;6;5;6;7;5;4;7;6;7;6;6;5;7;5;7;4;4;4;6;6;5;5;7;6;5;7;5;4;5;7;6;7;5;7;7;5;5;6;5;4;5;6;5;7;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;27;704;431;27;57;705; ;1;5;5;0;0;0;0;0;3
551; ; ;as3_ind;interview;2;4;4;4;4;-9;5;4;4;4;3;4;4;4;5;2;4;3;4;4;4;5;4;4;4;3;6;3;4;4;4;4;3;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;5;2;3;4;4;4;3;5;5;5;4;3;4;5;6;4;4;5;4;3;3;4;4;4;4;5;3;4;5;4;4;5;4;6;5;4;3;2;4;3;4;5;3;4;5;4;4;4;4;3;4;4;4;4;2;5;3;4;5;3;4;4;4;6;4;4;5;4;3;4;1;3;2;3;4;5;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;4;237;210;13;16;480; ;1;5;5;1;1;15;13;28;3
553; ; ;as3_ind;interview;4;4;4;4;4;4;4;4;2;4;3;4;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;2;3;2;3;4;4;3;4;4;4;4;4;4;4;4;2;2;4;4;3;2;3;4;3;4;4;4;3;4;4;3;4;3;4;4;2;4;4;4;4;4;3;3;4;4;3;4;4;4;4;4;4;1;4;2;4;4;4;3;4;3;3;3;3;4;4;4;4;3;3;4;4;4;4;2;4;4;4;4;2;4;4;4;4;4;4;1;4;4;2;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;5;292;210;14;14;535; ;1;5;5;0;0;0;9;9;2
